IDs,title,fol_or_p
D-Mbs_Mus.ms._266_n107,Aupres de vous secre tement (Auprès de vous),56v-57r
D-Mbs_Mus.ms._266_n108,Mauldicte soit la mondaine Richesse (Mauldicte soit),57r-57v
D-Mbs_Mus.ms._266_n109,Si mon malheur. M Bernardo (Si mon malheur m'y continue),57v
D-Mbs_Mus.ms._266_n110,Content Desir de M Bernardo (Content desir qui cause ma douleur),58r
D-Mbs_Mus.ms._266_n111,Ce qui soloyt. Ber.[nar]do (Ce qui souloit en deux se despartir),58r-58v
D-Mbs_Mus.ms._266_n112,Quil vouildra Savoyr qui ie Suis (Qui vouldra sçavoir qui je suys),58v
D-Mbs_Mus.ms._266_n113,Cest a grand tort de M M[ar]co da Laquila (Cest à grant tort),58v-59r
D-Mbs_Mus.ms._266_n114,Maulgre moy (Maulgré moy vis),59r
D-Mbs_Mus.ms._266_n115,Amour me voyant sans tristesse (Amour me voyant sans tristesse),60r
D-Mbs_Mus.ms._266_n116,Jayme le ceur de mamye (Jayme le ceur de mamye**?),60v
D-Mbs_Mus.ms._266_n117,Sarra martin. De M Albert (Sarra martin*[?]),61r-61v
D-Mbs_Mus.ms._266_n118,Changer ne puys (Changer ne puis et aultre ne désire),61v
D-Mbs_Mus.ms._266_n119,Recircar da mo mco [Marco da Laquila?] (Ricercare),64r
D-Mbs_Mus.ms._266_n120,Laultre jour par Vng Matin (L'autre jour je vis par ung matin),64r
D-Mbs_Mus.ms._266_n121,[untitled: fragment] ([untitled: fragment]),64r_15
D-Mbs_Mus.ms._266_n122,[untitled: fragment] ([untitled: fragment]),64r_15
D-Mbs_Mus.ms._266_n123,[untitled] ([untitled]),65r
D-Mbs_Mus.ms._266_n124,[untitled] ([untitled]),66r
D-Mbs_Mus.ms._266_n187,[In?] [p]rincipio (In principio),113r-114r_1-5
D-Mbs_Mus.ms._266_n188,[untitled] ([untitled]),114r_6-8
D-Mbs_Mus.ms._266_n189,Le vechie (Le vechie*[?]),115r
D-Mbs_Mus.ms._266_n190,Le vechie (Le vechie*[?]),116r
D-Mbs_Mus.ms._266_n191,[O dolce vita mia] (O dolce vita mia),117r
D-Mbs_Mus.ms._266_n192,[margin top: fragment] ([untitled: fragment]),117r
D-Mbs_Mus.ms._266_n193,O dolce vitta mia di Adriano .a. 4. v. (O dolce vita mia),118r-118v
D-Mbs_Mus.ms._266_n194,Elisabeth Zacharie (Elisabeth Zacharie*[?]),119r
D-Mbs_Mus.ms._267_n019,Ung Jour passé avec colletté mes batoyé secretement (Ung jour passé avec Collette),28r
D-Mbs_Mus.ms._267_n020,Letaré et exultaré p[ri]mo (Letaré et exultaré*),28v-29r
D-Mbs_Mus.ms._267_n021,Frisque gaillart 1 (Gallarda),29v-30r
D-Mbs_Mus.ms._267_n022,Contre Raisor N° 2 (Contre raison vous m'êtes fort étrange),30v-31r
D-Mbs_Mus.ms._267_n023,Trop tost iay creuy prenant tel plaisir (Trop tost iay creu),31r
D-Mbs_Mus.ms._267_n024,Jhean de lagny mon belamy (Jehan de Lagny mon bel amy),31v
D-Mbs_Mus.ms._267_n025,Recercata a Joan Henrico Herwart (Ricercare),32r
D-Mbs_Mus.ms._267_n026,[margin right: fragment] ([untitled: fragment]),32r
D-Mbs_Mus.ms._267_n027,[margin bottom: fragment] ([untitled: fragment]),32r_7
D-Mbs_Mus.ms._267_n028,[untitled] ([untitled]),32v_1
D-Mbs_Mus.ms._267_n029,[untitled] ([untitled]),32v_2
D-Mbs_Mus.ms._267_n030,[untitled] ([untitled]),33r_1-5
D-Mbs_Mus.ms._267_n031,[untitled] ([untitled]),33r_6
D-Mbs_Mus.ms._267_n032,[untitled] ([untitled]),33v_1-2
D-Mbs_Mus.ms._267_n033,[untitled] ([untitled]),33v_3
D-Mbs_Mus.ms._267_n034,[untitled] ([untitled]),33v_3-5
D-Mbs_Mus.ms._267_n035,[untitled] ([untitled]),33v_5
D-Mbs_Mus.ms._267_n036,[untitled] ([untitled]),33v_6
D-Mbs_Mus.ms._267_n037,[untitled] ([untitled]),34r_1-5
D-Mbs_Mus.ms._267_n038,[untitled] ([untitled]),34r_6-7
D-Mbs_Mus.ms._267_n039,[untitled] ([untitled]),34r_7
D-Mbs_Mus.ms._267_n040,[untitled] ([untitled]),34r_7
D-Mbs_Mus.ms._267_n041,[untitled] ([untitled]),34v-35r_1-5
D-Mbs_Mus.ms._267_n042,[margin left: fragment] ([untitled: fragment]),35r_3
D-Mbs_Mus.ms._267_n043,[untitled] ([untitled]),35r_6-7-35v_1
D-Mbs_Mus.ms._267_n044,[untitled] ([untitled]),35v_2-3
D-Mbs_Mus.ms._267_n045,[untitled] ([untitled]),36r_1
D-Mbs_Mus.ms._267_n046,[untitled] ([untitled]),36r_2-3
D-Mbs_Mus.ms._267_n047,[Fantaisie] (Fantasia),36r_3-7
D-Mbs_Mus.ms._267_n048,[margin left: fragment] ([untitled: fragment]),36r_5
D-Mbs_Mus.ms._267_n049,[untitled] ([untitled]),36v_1-7
D-Mbs_Mus.ms._267_n050,[untitled] ([untitled]),36v_7
D-Mbs_Mus.ms._267_n051,[untitled] ([untitled]),37r_1-2
D-Mbs_Mus.ms._267_n052,[margin right: fragment] ([untitled: fragment]),37r_2
D-Mbs_Mus.ms._267_n053,[untitled] ([untitled]),37r_3-6
D-Mbs_Mus.ms._267_n054,[untitled] ([untitled]),37r_7
D-Mbs_Mus.ms._267_n055,[untitled] ([untitled]),37r_7
D-Mbs_Mus.ms._267_n056,[Fantaisie] (Fantasia),37v
D-Mbs_Mus.ms._267_n057,Ain frannzosisch Liedt genna[n]t (Ein französisches Lied genannt),38r
D-Mbs_Mus.ms._267_n058,Anthonius Rota Super flumina Babilonis de Le Fage (Super flumina Babylonis),38v-39r
D-Mbs_Mus.ms._267_n059,A. Rotta S[ecund]a pars Si oblitus fuero (Si oblitus fuero tui),39v-40r
D-Mbs_Mus.ms._267_n060,"Pour Vng petit coup (Encore un coup, un petit coup*[?])",40v
D-Mbs_Mus.ms._267_n061,Ian de Lany (Ian de Lany*[?]),41r
D-Mbs_Mus.ms._267_n062,Reveille vous vous endormys de Jannequin. Voglgsang der erst thaill (Orsus orsus vous dormez trop*[?]),41v
D-Mbs_Mus.ms._267_n063,[untitled] ([untitled]),42r_1-2
D-Mbs_Mus.ms._267_n064,Laultre iour ie vys par (L'autre jour je vis par ung matin),42r_3-6
D-Mbs_Mus.ms._267_n065,[untitled] ([untitled]),42v_1-7-43r_2-4
D-Mbs_Mus.ms._267_n066,[untitled] ([untitled]),43r_6-7
D-Mbs_Mus.ms._267_n067,[margin right: fragment] ([untitled: fragment]),"42v_1,43r_1"
D-Mbs_Mus.ms._267_n068,[margin left: fragment] ([untitled: fragment]),42v_2
D-Mbs_Mus.ms._267_n069,[margin bottom: fragment] ([untitled: fragment]),42v_8
D-Mbs_Mus.ms._267_n070,[untitled: fragment] ([untitled: fragment]),43r_5
D-Mbs_Mus.ms._267_n071,[untitled: fragment] ([untitled: fragment]),43v_1
D-Mbs_Mus.ms._267_n072,[untitled: fragment] ([untitled: fragment]),43v_2
D-Mbs_Mus.ms._267_n073,[untitled] ([untitled]),43v_3-5
D-Mbs_Mus.ms._267_n074,[margin left: fragment] ([untitled: fragment]),43v_3
D-Mbs_Mus.ms._267_n075,[untitled] ([untitled]),43v_6-7
D-Mbs_Mus.ms._267_n076,[untitled] ([untitled]),44r_1
D-Mbs_Mus.ms._267_n077,[untitled] ([untitled]),44r_1-2
D-Mbs_Mus.ms._267_n078,[untitled] ([untitled]),44r_3
D-Mbs_Mus.ms._267_n079,[untitled] ([untitled]),44r_3
D-Mbs_Mus.ms._267_n080,[untitled] ([untitled]),44r_4
D-Mbs_Mus.ms._267_n081,[untitled] ([untitled]),44r_6
D-Mbs_Mus.ms._267_n082,[untitled] ([untitled]),44r_7
D-Mbs_Mus.ms._267_n083,[untitled] ([untitled]),44r_7
D-Mbs_Mus.ms._267_n084,[untitled] ([untitled]),44v_1-2
D-Mbs_Mus.ms._267_n085,[untitled] ([untitled]),"44v_3-6, 45r_3-4"
D-Mbs_Mus.ms._267_n086,[untitled] ([untitled]),"44v_7, 45r_7"
D-Mbs_Mus.ms._267_n087,[untitled: fragment] ([untitled: fragment]),45r_1
D-Mbs_Mus.ms._267_n088,[untitled: fragment] ([untitled: fragment]),45r_2
D-Mbs_Mus.ms._267_n089,[untitled: fragment] ([untitled: fragment]),45r_5
D-Mbs_Mus.ms._267_n090,[untitled: fragment] ([untitled: fragment]),45r_6
D-Mbs_Mus.ms._267_n091,[untitled] ([untitled]),45v_1-7
D-Mbs_Mus.ms._267_n092,[margin left: fragment] ([untitled: fragment]),45v_1-2
D-Mbs_Mus.ms._267_n093,[margin left: fragment] ([untitled: fragment]),45v_3
D-Mbs_Mus.ms._267_n094,[margin left: fragment] ([untitled: fragment]),45v_4
D-Mbs_Mus.ms._267_n095,[margin left: fragment] ([untitled: fragment]),45v_6
D-Mbs_Mus.ms._267_n096,[margin bottom: fragment] ([untitled: fragment]),45v_8
D-Mbs_Mus.ms._267_n097,[margin bottom: fragment] ([untitled: fragment]),45v_8
D-Mbs_Mus.ms._267_n098,[margin bottom: fragment] ([untitled: fragment]),45v_8
D-Mbs_Mus.ms._267_n099,peccata mea (Peccata mea Domine),46r-46v
D-Mbs_Mus.ms._267_n100,Secunda pars [Quoniam iniquitatem] (Quoniam iniquitatem meam),47r-47v_2
D-Mbs_Mus.ms._267_n101,[untitled] ([untitled]),47v_3-7
D-Mbs_Mus.ms._267_n102,[margin left: fragment] ([untitled: fragment]),47v_3
D-Mbs_Mus.ms._267_n103,[margin left: fragment] ([untitled: fragment]),47v_4
D-Mbs_Mus.ms._267_n104,[untitled] ([untitled]),48r_1-5
D-Mbs_Mus.ms._267_n105,[untitled: fragment] ([untitled: fragment]),48r_1
D-Mbs_Mus.ms._267_n106,[margin left: fragment] ([untitled: fragment]),48r_2
D-Mbs_Mus.ms._267_n107,[margin right: fragment] ([untitled: fragment]),48r_3
D-Mbs_Mus.ms._267_n108,[untitled: fragment] ([untitled: fragment]),48r_5-6
D-Mbs_Mus.ms._267_n109,[untitled: fragment] ([untitled: fragment]),48r_6-7
D-Mbs_Mus.ms._267_n110,[untitled] ([untitled]),48v_1-7
D-Mbs_Mus.ms._267_n111,[margin left: fragment] ([untitled: fragment]),48v_1
D-Mbs_Mus.ms._267_n112,[margin left: fragment] ([untitled: fragment]),48v_2
D-Mbs_Mus.ms._267_n113,[margin left: fragment] ([untitled: fragment]),48v_3
D-Mbs_Mus.ms._267_n114,[margin left: fragment] ([untitled: fragment]),48v_5
D-Mbs_Mus.ms._267_n115,[margin left: fragment] ([untitled: fragment]),48v_7
D-Mbs_Mus.ms._267_n116,[margin left: fragment] ([untitled: fragment]),48v_8
D-Mbs_Mus.ms._267_n117,[margin right: fragment] ([untitled: fragment]),48v_4
D-Mbs_Mus.ms._267_n118,[margin bottom: fragment] ([untitled: fragment]),48v_8
D-Mbs_Mus.ms._267_n119,[untitled: fragment] ([untitled: fragment]),49r_1
D-Mbs_Mus.ms._267_n120,[untitled: fragment] ([untitled: fragment]),49r_1
D-Mbs_Mus.ms._267_n121,[untitled: fragment] ([untitled: fragment]),49r_1
D-Mbs_Mus.ms._267_n122,[untitled: fragment] ([untitled: fragment]),49r_2-3
D-Mbs_Mus.ms._267_n123,[margin left: fragment] ([untitled: fragment]),49r_2
D-Mbs_Mus.ms._267_n124,[untitled: fragment] ([untitled: fragment]),49r_3
D-Mbs_Mus.ms._267_n125,[untitled: fragment] ([untitled: fragment]),49r_4
D-Mbs_Mus.ms._267_n126,[untitled: fragment] ([untitled: fragment]),49r_4
D-Mbs_Mus.ms._267_n127,[margin left-right: fragment] ([untitled: fragment]),49r_3-4
D-Mbs_Mus.ms._267_n128,Che debo far che mi chonselai amore (Che debb’io far?),50r
D-Mbs_Mus.ms._267_n129,Jenoves demande (Je ne vous demande plus rien),50v-51r
D-Mbs_Mus.ms._267_n130,Il e bel e Bon chomere il me mary (Il est bel et bon),51v-52r
D-Mbs_Mus.ms._267_n131,De su monsue de Rois (De su monsue de Rois*[?]),52v-53r
D-Mbs_Mus.ms._267_n132,[La Cara Cossa] (La Cara Cossa),54r_1-2
D-Mbs_Mus.ms._267_n133,[Passamezzo] (Passamezzo),54r_3-4
D-Mbs_Mus.ms._267_n134,[untitled] ([untitled]),54v_1-4
D-Mbs_Mus.ms._267_n135,[untitled] ([untitled]),54v_4
D-Mbs_Mus.ms._268_n1,Prima pars Bataglia de li Ucelli (La battaglia),2v-3r
D-Mbs_Mus.ms._268_n2,Monpere in paro (Mon pere in paro*[?]),6v
D-Mbs_Mus.ms._268_n3,O passi sparsi a doi leuti pari (O passi sparsi),7v-8r
D-Mbs_Mus.ms._268_n4,Cosi mi guida Amore (Cosi mi guida amore),8v-9r
D-Mbs_Mus.ms._268_n5,Bongior mamie (Bonjour ma mie),9v-10r
D-Mbs_Mus.ms._268_n6,Prima p[ar]s o disleal Amore (O disleal' Amore),16v
D-Mbs_Mus.ms._268_n7,[untitled] ([untitled]),17r-18r
D-Mbs_Mus.ms._269_n01,prima parte Bataglia de ucelli (La battaglia),2v
D-Mbs_Mus.ms._269_n02,Seconda pars [Bataglia de ucelli] (La battaglia),3r
D-Mbs_Mus.ms._269_n03,Terzia pars [Bataglia de ucelli] (La battaglia),3v
D-Mbs_Mus.ms._269_n04,Quarta pars [Bataglia de ucelli] (La battaglia),4r
D-Mbs_Mus.ms._269_n05,Mon pere (Mon pere in paro*[?]),6v
D-Mbs_Mus.ms._269_n06,[Cosi mi guid'amore] (Cosi mi guida amore),7r
D-Mbs_Mus.ms._269_n07,Bon jor mamie in quarto (Bonjour ma mie),12v-13r
D-Mbs_Mus.ms._269_n08,prima pars [Jo Mi sono Giovinella] (Io mi son giovinetta),14v
D-Mbs_Mus.ms._269_n09,Jo Mi sono Giovinella (Io mi son giovinetta),14v
D-Mbs_Mus.ms._269_n10,[O s'io potessi donna] (O s'io potessi donna),18v-19r
D-Mbs_Mus.ms._270_n01,[untitled: fragment] ([untitled: fragment]),1r_1
D-Mbs_Mus.ms._270_n02,[untitled: fragment] ([untitled: fragment]),1r_2
D-Mbs_Mus.ms._270_n03,[Passamezzo] (Passamezzo),1v
D-Mbs_Mus.ms._270_n04,[Saltarello] (Saltarello),2r
D-Mbs_Mus.ms._270_n05,[untitled] ([untitled]),2v_1-2
D-Mbs_Mus.ms._270_n06,[untitled] ([untitled]),2v_3-5
D-Mbs_Mus.ms._270_n07,[Saltarello] (Saltarello),2v_7-8
D-Mbs_Mus.ms._270_n08,[untitled] ([untitled]),3r_1-4
D-Mbs_Mus.ms._270_n09,[Saltarello] (Saltarello),3r_5-7
D-Mbs_Mus.ms._270_n10,[untitled] ([untitled]),3v_1-3
D-Mbs_Mus.ms._270_n11,[Saltarello] (Saltarello),3v_4-5
D-Mbs_Mus.ms._270_n12,[La Cara Cossa] (La Cara Cossa),3v_6-9
D-Mbs_Mus.ms._270_n13,[La Cara Cossa] (La Cara Cossa),3v_10-4r_4
D-Mbs_Mus.ms._270_n14,[Vater unser im Himmelreich] (Vater unser im Himmelreich),4r_5-6
D-Mbs_Mus.ms._270_n15,[Vater unser im Himmelreich] (Vater unser im Himmelreich),4r_7-9
D-Mbs_Mus.ms._270_n16,[untitled] ([untitled]),4v_1-4
D-Mbs_Mus.ms._270_n17,[untitled] ([untitled]),5r_1-4
D-Mbs_Mus.ms._270_n18,[untitled] ([untitled]),5r_5-6
D-Mbs_Mus.ms._270_n19,[untitled: fragment] ([untitled: fragment]),5r_7
D-Mbs_Mus.ms._270_n20,[untitled: fragment] ([untitled: fragment]),17v_1
D-Mbs_Mus.ms._270_n21,[untitled: fragment] ([untitled: fragment]),18r_1
D-Mbs_Mus.ms._270_n22,[untitled: fragment] ([untitled: fragment]),18v_1
D-Mbs_Mus.ms._270_n23,[untitled: fragment] ([untitled: fragment]),18v_2
D-Mbs_Mus.ms._270_n24,[untitled: fragment] ([untitled: fragment]),18v_2
D-Mbs_Mus.ms._270_n25,[untitled: fragment] ([untitled: fragment]),18v_2
D-Mbs_Mus.ms._270_n26,[untitled: fragment] ([untitled: fragment]),18v_3
D-Mbs_Mus.ms._270_n27,[untitled: fragment] ([untitled: fragment]),18v_5
D-Mbs_Mus.ms._270_n28,[untitled: fragment] ([untitled: fragment]),18v_5
D-Mbs_Mus.ms._270_n29,[untitled: fragment] ([untitled: fragment]),18v_6
D-Mbs_Mus.ms._270_n30,[untitled: fragment] ([untitled: fragment]),18v_7
D-Mbs_Mus.ms._270_n31,[untitled: fragment] ([untitled: fragment]),18v_8
D-Mbs_Mus.ms._270_n32,[untitled: fragment] ([untitled: fragment]),18v_8
D-Mbs_Mus.ms._271_n01,[Par ton regard] (Par ton regard),1r
D-Mbs_Mus.ms._271_n02,[Joyeusement il fait bon vivre] (Joyeusement il fait bon vivre),1v-2r
D-Mbs_Mus.ms._271_n03,[O s'io potessi donna] (O s'io potessi donna),2v-3r
D-Mbs_Mus.ms._271_n04,soprano s[anct]a m[ari]a (Sancta Maria),3v-4r
D-Mbs_Mus.ms._271_n05,[O passi sparsi] (O passi sparsi),4v-5r
D-Mbs_Mus.ms._271_n06,[Martin menoit] (Martin menait son porceau au marché),5v-6r
D-Mbs_Mus.ms._271_n07,A [untitled] ([untitled]),6v
D-Mbs_Mus.ms._271_n08,[untitled] ([untitled]),7r
D-Mbs_Mus.ms._271_n09,tota pulcra (Tota pulchra),7v-8r
D-Mbs_Mus.ms._271_n10,In paro B [Mamye ung iour] (Mamye ung iour),8v
D-Mbs_Mus.ms._271_n11,In paro A (In paro A*),9r
D-Mbs_Mus.ms._271_n12,[untitled] ([untitled]),9v-10r
D-Mbs_Mus.ms._271_n13,[untitled] ([untitled]),10v-11r
D-Mbs_Mus.ms._271_n14,[Resveillez-vous] (Réveillez-vous c'est trop dormi),11v
D-Mbs_Mus.ms._271_n15,[untitled] ([untitled]),12r
D-Mbs_Mus.ms._271_n16,[untitled] ([untitled]),12v-13r
D-Mbs_Mus.ms._271_n17,[untitled] ([untitled]),13v-14r
D-Mbs_Mus.ms._271_n18,Soprano de Tudixoys [Tu disois que j'en mourroye] (Tu disois que j'en mourroye),14v-15r
D-Mbs_Mus.ms._271_n19,O disleale amor [prim]a pars (O disleal' Amore),15v
D-Mbs_Mus.ms._271_n20,[O disleale amor] S[ecun]da pars (O disleal' Amore),15v-16r
D-Mbs_Mus.ms._271_n21,[untitled: fragment] ([untitled: fragment]),16r_6
D-Mbs_Mus.ms._271_n22,[C]osi mi guida amore p[rim]a pars (Cosi mi guida amore),16v
D-Mbs_Mus.ms._271_n23,[Cosi mi guida amore] S[ecun]da Pars (Cosi mi guida amore),16v-17r_1-2
D-Mbs_Mus.ms._271_n24,[untitled: fragment] ([untitled: fragment]),17r_2
D-Mbs_Mus.ms._271_n25,Aspice Jaquet (Aspice Domine),17r-17v
D-Mbs_Mus.ms._271_n26,[untitled] ([untitled]),18v_1-2
D-Us_Smr.misc_131b_n01,"[image: Lutenist with lute, landscape and animals] ([Lutenist with lute])",[0]
D-Us_Smr.misc_131b_n02,Es ist der krag (Es ist der [Lauten]kragen),Ir
D-Us_Smr.misc_131b_n03,Item wann dú die Laútten richttenn wiltt (Item wann du die Lauten richten willst),Iv
D-Us_Smr.misc_131b_n04,Hastú mich genomenn mitt 2 Stimmen (Hast Du mich genommen),1r
D-Us_Smr.misc_131b_n05,Jam sattis terris mitt 3 stimen (Jam satis terris),1r
D-Us_Smr.misc_131b_n06,Vnnser kóchin kann aúß der massen kochen woll** (**Unsere Köchin kann aus der Maßen kochen),1v
D-Us_Smr.misc_131b_n07,Ein Gútts Denntzlin (Tanz),1v-2r
D-Us_Smr.misc_131b_n08,Hab dir mein Leydenn (Habe Dir mein Leiden),2r
D-Us_Smr.misc_131b_n09,Nachlaúff (Nachlauf),2r
D-Us_Smr.misc_131b_n10,Ein gúttes welsch Denntzlin El buratto genanntt (Ein gutes welsches Tänzlein El buratto genannt),2v
D-Us_Smr.misc_131b_n11,Prenambúlu[m] (Präambulum),2v
D-Us_Smr.misc_131b_n12,Gassen hawer (Gassenhauer),3r
D-Us_Smr.misc_131b_n13,Nach Laúff (Nachlauf),3r
D-Us_Smr.misc_131b_n14,Ach Medlin far mitt mir vber Reynn** (Maidlein willst mit mir über Rhein),3v
D-Us_Smr.misc_131b_n15,Nach laúff (Nachlauf),3v
D-Us_Smr.misc_131b_n16,Ach medlin Reinn (Ach Maidlein rein ich habe allein),4r-4v
D-Us_Smr.misc_131b_n17,Ain gútter Danntz der Schwartz knab genanntt (Schwarzknabe),4v-5r
D-Us_Smr.misc_131b_n18,Nach Laúff (Nachlauf),5v
D-Us_Smr.misc_131b_n19,Ich stúnd an einem morgen (Ich stand an einem Morgen),6r
D-Us_Smr.misc_131b_n20,Sequittúr la gailiarda mitt 4 stime[n] (Gallarda),6r-6v
D-Us_Smr.misc_131b_n21,Colat (Colat),6v-7r
D-Us_Smr.misc_131b_n22,Nachlaúff (Nachlauf),7r
D-Us_Smr.misc_131b_n23,Sequittúr Collatt (Colat),7r-7v
D-Us_Smr.misc_131b_n24,Nachlaúff (Nachlauf),7v
D-Us_Smr.misc_131b_n25,Ennglisch Tanntz (Englischer Tanz),8r
D-Us_Smr.misc_131b_n26,Nachlaúff (Nachlauf),8r
D-Us_Smr.misc_131b_n27,Danntz (Tanz),8v
D-Us_Smr.misc_131b_n28,Proportz (Proporz),8v
D-Us_Smr.misc_131b_n29,Mir ist ain feins braúns megetlein gefalen in meinen sinn (Mir ist ein feines braunes Mägdelein gefallen in meinen Sinn),9r
D-Us_Smr.misc_131b_n30,Danntz (Tanz),9r-9v
D-Us_Smr.misc_131b_n31,Nachlaúff (Nachlauf),9v
D-Us_Smr.misc_131b_n32,Ain gúter Danntz (Tanz),9v-10r
D-Us_Smr.misc_131b_n33,Nach Laúff (Nachlauf),10r
D-Us_Smr.misc_131b_n34,Longúier mi fay (Languir me fais),10r-10v
D-Us_Smr.misc_131b_n35,[register] ([register]),20v
EgenolffG_1535_T_n00,Gassenhawerlin. Tenor. (Gassenhauer),
EgenolffG_1535_T_n01,Entlawbet ist der walde (Entlaubt ist der Wald),Aij
EgenolffG_1535_T_n02,Ach Gott wie lang (Ach Gott wie lang hab ich gewartet),Aiij
EgenolffG_1535_T_n03,Wiewol ich kan (Wie wohl ich kann und bin ein Mann),Aiiij
EgenolffG_1535_T_n04,Ob glúck hat neid (Ob Glück hat Neid und Unfall Freud),Av
EgenolffG_1535_T_n05,Gott nimpt vnd geit (Gott nimmt und gibt zu jeder Zeit),V
EgenolffG_1535_T_n06,Lieblich hat sich gesellet mein hertz in kurtzer frist (Lieblich hat sich gesellt mein Herz in kurzer Frist),VI
EgenolffG_1535_T_n07,Es wolt ein jáger j:gen vor jenem holtz (Es wollte ein Jäger jagen vor jenem Holz),VII
EgenolffG_1535_T_n08,Die brúnnlin die da fliessen (Die Brünnlein die da fliessen),VIII
EgenolffG_1535_T_n09,Wer wolt dir nit in ehrn sein holdt (Wer wollte dir nicht in Ehren sein hold),B
EgenolffG_1535_T_n10,Ach scheydens (Ach Scheidens Art wie bist so hart),"Bij, Biij"
EgenolffG_1535_T_n11,Mein gmút vnd blút (Mein Gemüt und Blut ist gar entzündet),Biiij
EgenolffG_1535_T_n12,Ich weyß mir ein feins brauns meydelin (Ich weiß mir ein feines braunes Meidlein),Bv
EgenolffG_1535_T_n13,Es hett ein biderman ein weib (Es hatte ein Biedermann ein Weib),XIII
EgenolffG_1535_T_n14,Ich hett mir fúrgenommen zú dienen stetiglich (Ich hatte mir vorgenommen zu dienen),XIIII
EgenolffG_1535_T_n15,Ich stúnd an einem morgen (Ich stand an einem Morgen),XV
EgenolffG_1535_T_n16,Nach willen dein (Nach Willen dein),"C, Cij"
EgenolffG_1535_T_n17,So mann lang macht (So man lange macht betrachtet),Ciij
EgenolffG_1535_T_n18,Meins traurens ist (Meines Trauerns ist Ursache),Ciiij
EgenolffG_1535_T_n19,Ach lieb mit leyd (Ach Liebe mit Leid),Cv
EgenolffG_1535_T_n20,Tróstlicher lieb (Tröstlicher Liebe),XX
EgenolffG_1535_T_n21,Von edler art (Von edler Art),XXI
EgenolffG_1535_T_n22,Kein trost (Kein Trost auf Erden),XXII
EgenolffG_1535_T_n23,E scheydens gwalt (E Schaidens Gewalt),"D, Dij"
EgenolffG_1535_T_n24,O all mein hoffnung (O alle meine Hoffnung),Diij
EgenolffG_1535_T_n25,So wúnsch ich jm (So wünsche ich ihm),Diiij
EgenolffG_1535_T_n26,Zart schóne fraw (Zarte schöne Frau),Dv
EgenolffG_1535_T_n27,Nun hab ich all (Nun habe ich alle meine Tage gehört),XXVII
EgenolffG_1535_T_n28,Was ich gedult (Was ich dulde und leiden mag),XXVIII
EgenolffG_1535_T_n29,Ietz scheyden bringt mir schwer (Jetzt Scheiden),E
EgenolffG_1535_T_n30,Nie noch nimmer (Nie noch nimmer),Eij
EgenolffG_1535_T_n31,On dich kan ich nit frewen mich (Ohne dich kann ich),Eiij
EgenolffG_1535_T_n32,Mein hertzigs A (Mein herziges A),Eiiij
EgenolffG_1535_T_n33,Ich rew vnd klag (Ich reue und klage),Ev
EgenolffG_1535_T_n34,Wer gnad durch klaff (Wer Gnade durch Klaffen erlangen will),XXXIIII
EgenolffG_1535_T_n35,Von hertzen ich (Von Herzen ich tue freuen mich),XXXV
EgenolffG_1535_T_n36,Vnmút thút (Unmut tut mich bewegen weit),F
EgenolffG_1535_T_n37,Warumb hat mich (Warum hat mich so härtiglich),"Fij, Fiij"
EgenolffG_1535_T_n38,Ach hochster hort (Ach höchster Hort),Fiiij
EgenolffG_1535_T_n39,Sie ist die schón (Sie ist die Schöne),Fv
EgenolffG_1535_T_n40,Register ([register]),
EgenolffG_1535_T_n41,M. D. XXXV Im Hornung (Explizit),
EgenolffR_1535_T_n00,Reutterliedlin Tenor (Reuterliedlein),
EgenolffR_1535_T_n01,Ein leppisch man (Ein läppischer Mann der narren kann),Aij
EgenolffR_1535_T_n02,Es hett ein schwab ein tóchterlin (Es hatte ein Schwabe ein Töchterlein),Aiij
EgenolffR_1535_T_n03,Laborett dominus. Laborette (Laborette Dominus),Aiij
EgenolffR_1535_T_n04,Zv Laudenburg (Zu Laudenburg nicht weit vom Rein),"aiiij, av"
EgenolffR_1535_T_n05,Nvn grúß dich got mein edler most (Nun grüß dich Gott mein edler Most),V
EgenolffR_1535_T_n06,Ein armer man wolt weiben (Ein armer Mann wollte weiben),b
EgenolffR_1535_T_n07,Von erst so wóln (Von erst so wollen wir loben),bij
EgenolffR_1535_T_n08,Mein fleiß vnd múe (Mein Fleiß und Mühe),biij
EgenolffR_1535_T_n09,Ich klag den tag (Ich klage den Tag),biiij
EgenolffR_1535_T_n10,Es wolt ein meydlin wasser holn (Es wollte ein Maidlein Wasser holen),bv
EgenolffR_1535_T_n11,Hertz einigs lieb (Herzeiniges Liebes),XI
EgenolffR_1535_T_n12,Ein meydlin an eim laden (Ein Maidlein an dem Laden lag),XII
EgenolffR_1535_T_n13,Wolauff wolauff mit lauter stimm (Wohlauf wohlauf mit lauter Stimme),XIII
EgenolffR_1535_T_n14,Ich armes brúderlin (Ich armes Brüderlein wie sitze ich hier beim Wein),XIIII
EgenolffR_1535_T_n15,Schóns lieb (Schönes Lieb was habe ich dir getan),c
EgenolffR_1535_T_n16,Verschút han ich mein habermús (Verschüttet habe ich mein Habermus),cij
EgenolffR_1535_T_n17,Nvr nerrisch sein (Nur närrisch sein ist meine Manier),"ciij, ciiij, cv"
EgenolffR_1535_T_n18,Ach Gott wem sol ichs klagen (Ach Gott wem soll ich es klagen),XVIII
